Date,MeasureNames,Exits
2024-01-01,Exits,104109
2024-01-02,Exits,282192
2024-01-03,Exits,339948
2024-01-04,Exits,329338
2024-01-05,Exits,296090
2024-01-06,Exits,143471
2024-01-07,Exits,157990
2024-01-08,Exits,319258
2024-01-09,Exits,326768
2024-01-10,Exits,388697
2024-01-11,Exits,385817
2024-01-12,Exits,294469
2024-01-13,Exits,239387
2024-01-14,Exits,148709
2024-01-15,Exits,160146
2024-01-16,Exits,177015
2024-01-17,Exits,341767
2024-01-18,Exits,400967
2024-01-19,Exits,233837
2024-01-20,Exits,200829
2024-01-21,Exits,153061
2024-01-22,Exits,324812
2024-01-23,Exits,405682
2024-01-24,Exits,413638
2024-01-25,Exits,392324
2024-01-26,Exits,340608
2024-01-27,Exits,237276
2024-01-28,Exits,153740
2024-01-29,Exits,331764
2024-01-30,Exits,404522
2024-01-31,Exits,412714
2024-02-01,Exits,395647
2024-02-02,Exits,336745
2024-02-03,Exits,219101
2024-02-04,Exits,164572
2024-02-05,Exits,333713
2024-02-06,Exits,416968
2024-02-07,Exits,418803
2024-02-08,Exits,397059
2024-02-09,Exits,338355
2024-02-10,Exits,245947
2024-02-11,Exits,169105
2024-02-12,Exits,330083
2024-02-13,Exits,394625
2024-02-14,Exits,419950
2024-02-15,Exits,392706
2024-02-16,Exits,324313
2024-02-17,Exits,218744
2024-02-18,Exits,186592
2024-02-19,Exits,209567
2024-02-20,Exits,404888
2024-02-21,Exits,413346
2024-02-22,Exits,403986
2024-02-23,Exits,332103
2024-02-24,Exits,232048
2024-02-25,Exits,168532
2024-02-26,Exits,351386
2024-02-27,Exits,419757
2024-02-28,Exits,407552
2024-02-29,Exits,406542
2024-03-01,Exits,358665
2024-03-02,Exits,215381
2024-03-03,Exits,195705
2024-03-04,Exits,350635
2024-03-05,Exits,421184
2024-03-06,Exits,430960
2024-03-07,Exits,429958
2024-03-08,Exits,374169
2024-03-09,Exits,233167
2024-03-10,Exits,191074
2024-03-11,Exits,356183
2024-03-12,Exits,453412
2024-03-13,Exits,472464
2024-03-14,Exits,459417
2024-03-15,Exits,376161
2024-03-16,Exits,365598
2024-03-17,Exits,235493
2024-03-18,Exits,380113
2024-03-19,Exits,461421
2024-03-20,Exits,496189
2024-03-21,Exits,465560
2024-03-22,Exits,427392
2024-03-23,Exits,263303
2024-03-24,Exits,310788
2024-03-25,Exits,427869
2024-03-26,Exits,493528
2024-03-27,Exits,442417
2024-03-28,Exits,436217
2024-03-29,Exits,429455
2024-03-30,Exits,389621
2024-03-31,Exits,231684
2024-04-01,Exits,398701
2024-04-02,Exits,455710
2024-04-03,Exits,451450
2024-04-04,Exits,489249
2024-04-05,Exits,424651
2024-04-06,Exits,327512
2024-04-07,Exits,264531
2024-04-08,Exits,366299
2024-04-09,Exits,448708
2024-04-10,Exits,456559
2024-04-11,Exits,433115
2024-04-12,Exits,386110
2024-04-13,Exits,327718
2024-04-14,Exits,237912
2024-04-15,Exits,373858
2024-04-16,Exits,433662
2024-04-17,Exits,442374
2024-04-18,Exits,437962
2024-04-19,Exits,379814
2024-04-20,Exits,352058
2024-04-21,Exits,197618
2024-04-22,Exits,360946
2024-04-23,Exits,453588
2024-04-24,Exits,462462
2024-04-25,Exits,463792
2024-04-26,Exits,397445
2024-04-27,Exits,263717
2024-04-28,Exits,231669
2024-04-29,Exits,361162
2024-04-30,Exits,438743
2024-05-01,Exits,448876
2024-05-02,Exits,433058
2024-05-03,Exits,386961
2024-05-04,Exits,251484
2024-05-05,Exits,188612
2024-05-06,Exits,363699
2024-05-07,Exits,462889
2024-05-08,Exits,472987
2024-05-09,Exits,425757
2024-05-10,Exits,352133
2024-05-11,Exits,262858
2024-05-12,Exits,185417
2024-05-13,Exits,375668
2024-05-14,Exits,438798
2024-05-15,Exits,449786
2024-05-16,Exits,452718
2024-05-17,Exits,377941
2024-05-18,Exits,242002
2024-05-19,Exits,220469
2024-05-20,Exits,389414
2024-05-21,Exits,467576
2024-05-22,Exits,460633
2024-05-23,Exits,414084
2024-05-24,Exits,368752
2024-05-25,Exits,284349
2024-05-26,Exits,244121
2024-05-27,Exits,184839
2024-05-28,Exits,418195
2024-05-29,Exits,433111
2024-05-30,Exits,438106
2024-05-31,Exits,373722
2024-06-01,Exits,256636
2024-06-02,Exits,193837
2024-06-03,Exits,384024
2024-06-04,Exits,457397
2024-06-05,Exits,452421
2024-06-06,Exits,463824
2024-06-07,Exits,430039
2024-06-08,Exits,417606
2024-06-09,Exits,259961
2024-06-10,Exits,380487
2024-06-11,Exits,466684
2024-06-12,Exits,483707
2024-06-13,Exits,445595
2024-06-14,Exits,398839
2024-06-15,Exits,282944
2024-06-16,Exits,204695
2024-06-17,Exits,361096
2024-06-18,Exits,449710
2024-06-19,Exits,281266
2024-06-20,Exits,423962
2024-06-21,Exits,352291
2024-06-22,Exits,275033
