Date,Location,Home Team,Away Team,Result
2024-04-01 16:05:00,Nationals Park,Washington Nationals,Pittsburgh Pirates,4 - 8
2024-04-03 18:45:00,Nationals Park,Washington Nationals,Pittsburgh Pirates,5 - 3
2024-04-04 16:05:00,Nationals Park,Washington Nationals,Pittsburgh Pirates,4 - 7
2024-04-05 18:45:00,Nationals Park,Washington Nationals,Philadelphia Phillies,0 - 4
2024-04-06 16:05:00,Nationals Park,Washington Nationals,Philadelphia Phillies,2 - 5
2024-04-07 13:35:00,Nationals Park,Washington Nationals,Philadelphia Phillies,3 - 2
2024-04-19 18:45:00,Nationals Park,Washington Nationals,Houston Astros,3 - 5
2024-04-20 16:05:00,Nationals Park,Washington Nationals,Houston Astros,5 - 4
2024-04-21 13:35:00,Nationals Park,Washington Nationals,Houston Astros,6 - 0
2024-04-23 18:45:00,Nationals Park,Washington Nationals,Los Angeles Dodgers,1 - 4
2024-04-24 18:45:00,Nationals Park,Washington Nationals,Los Angeles Dodgers,2 - 11
2024-04-25 16:05:00,Nationals Park,Washington Nationals,Los Angeles Dodgers,1 - 2
2024-05-03 18:45:00,Nationals Park,Washington Nationals,Toronto Blue Jays,9 - 3
2024-05-04 16:05:00,Nationals Park,Washington Nationals,Toronto Blue Jays,3 - 6
2024-05-05 13:35:00,Nationals Park,Washington Nationals,Toronto Blue Jays,11 - 8
2024-05-07 18:45:00,Nationals Park,Washington Nationals,Baltimore Orioles,3 - 0
2024-05-08 18:45:00,Nationals Park,Washington Nationals,Baltimore Orioles,6 - 7
2024-05-20 18:45:00,Nationals Park,Washington Nationals,Minnesota Twins,12 - 3
2024-05-21 18:45:00,Nationals Park,Washington Nationals,Minnesota Twins,0 - 10
2024-05-22 13:05:00,Nationals Park,Washington Nationals,Minnesota Twins,2 - 3
2024-05-24 18:45:00,Nationals Park,Washington Nationals,Seattle Mariners,6 - 1
2024-05-25 16:05:00,Nationals Park,Washington Nationals,Seattle Mariners,3 - 1
2024-05-26 13:35:00,Nationals Park,Washington Nationals,Seattle Mariners,5 - 9
