Day of Date,MeasureNames,MeasureValues
"January 1, 2019",Exits,109532
"January 2, 2019",Exits,459064
"January 3, 2019",Exits,495574
"January 4, 2019",Exits,470347
"January 5, 2019",Exits,158410
"January 6, 2019",Exits,116289
"January 7, 2019",Exits,510181
"January 8, 2019",Exits,551641
"January 9, 2019",Exits,546062
"January 10, 2019",Exits,537655
"January 11, 2019",Exits,509868
"January 12, 2019",Exits,169503
"January 13, 2019",Exits,102718
"January 14, 2019",Exits,239851
"January 15, 2019",Exits,560535
"January 16, 2019",Exits,576764
"January 17, 2019",Exits,582460
"January 18, 2019",Exits,580091
"January 19, 2019",Exits,226821
"January 20, 2019",Exits,128397
"January 21, 2019",Exits,144627
"January 22, 2019",Exits,530082
"January 23, 2019",Exits,548073
"January 24, 2019",Exits,549128
"January 25, 2019",Exits,517524
"January 26, 2019",Exits,173204
"January 27, 2019",Exits,118913
"January 28, 2019",Exits,584125
"January 29, 2019",Exits,600370
"January 30, 2019",Exits,513638
"January 31, 2019",Exits,566030
"February 1, 2019",Exits,540692
"February 2, 2019",Exits,181598
"February 3, 2019",Exits,133692
"February 4, 2019",Exits,591339
"February 5, 2019",Exits,648345
"February 6, 2019",Exits,631828
"February 7, 2019",Exits,640456
"February 8, 2019",Exits,583211
"February 9, 2019",Exits,199906
"February 10, 2019",Exits,134401
"February 11, 2019",Exits,545250
"February 12, 2019",Exits,613434
"February 13, 2019",Exits,640056
"February 14, 2019",Exits,630781
"February 15, 2019",Exits,560788
"February 16, 2019",Exits,207346
"February 17, 2019",Exits,144251
"February 18, 2019",Exits,222316
"February 19, 2019",Exits,610269
"February 20, 2019",Exits,158127
"February 21, 2019",Exits,588297
"February 22, 2019",Exits,574109
"February 23, 2019",Exits,185190
"February 24, 2019",Exits,135087
"February 25, 2019",Exits,584136
"February 26, 2019",Exits,641031
"February 27, 2019",Exits,635384
"February 28, 2019",Exits,632630
"March 1, 2019",Exits,524806
"March 2, 2019",Exits,193485
"March 3, 2019",Exits,123369
"March 4, 2019",Exits,598569
"March 5, 2019",Exits,643744
"March 6, 2019",Exits,635898
"March 7, 2019",Exits,642240
"March 8, 2019",Exits,584991
"March 9, 2019",Exits,246714
"March 10, 2019",Exits,156690
"March 11, 2019",Exits,606009
"March 12, 2019",Exits,655418
"March 13, 2019",Exits,650052
"March 14, 2019",Exits,660175
"March 15, 2019",Exits,587359
"March 16, 2019",Exits,235183
"March 17, 2019",Exits,153842
"March 18, 2019",Exits,612193
"March 19, 2019",Exits,659892
"March 20, 2019",Exits,672924
"March 21, 2019",Exits,633435
"March 22, 2019",Exits,604644
"March 23, 2019",Exits,257174
"March 24, 2019",Exits,194980
"March 25, 2019",Exits,630926
"March 26, 2019",Exits,687516
"March 27, 2019",Exits,671243
"March 28, 2019",Exits,713625
"March 29, 2019",Exits,635681
