Day of Date,Measure Names,Measure Values
"January 1, 2024",Exits,3551
"January 2, 2024",Exits,8683
"January 3, 2024",Exits,13566
"January 4, 2024",Exits,9720
"January 5, 2024",Exits,13730
"January 6, 2024",Exits,10380
"January 7, 2024",Exits,9794
"January 8, 2024",Exits,11585
"January 9, 2024",Exits,10150
"January 10, 2024",Exits,11670
"January 11, 2024",Exits,15286
"January 12, 2024",Exits,9551
"January 13, 2024",Exits,14227
"January 14, 2024",Exits,6803
"January 15, 2024",Exits,8962
"January 16, 2024",Exits,9082
"January 17, 2024",Exits,10529
"January 18, 2024",Exits,16896
"January 19, 2024",Exits,8339
"January 20, 2024",Exits,12079
"January 21, 2024",Exits,8974
"January 22, 2024",Exits,9041
"January 23, 2024",Exits,12675
"January 24, 2024",Exits,14784
"January 25, 2024",Exits,13718
"January 26, 2024",Exits,10506
"January 27, 2024",Exits,14128
"January 28, 2024",Exits,8376
"January 29, 2024",Exits,8944
"January 30, 2024",Exits,11823
"January 31, 2024",Exits,15025
"February 1, 2024",Exits,11369
"February 2, 2024",Exits,14398
"February 3, 2024",Exits,10044
"February 4, 2024",Exits,8281
"February 5, 2024",Exits,9038
"February 6, 2024",Exits,15557
"February 7, 2024",Exits,14378
"February 8, 2024",Exits,11050
"February 9, 2024",Exits,11309
"February 10, 2024",Exits,16081
"February 11, 2024",Exits,14235
"February 12, 2024",Exits,9310
"February 13, 2024",Exits,16179
"February 14, 2024",Exits,12749
"February 15, 2024",Exits,11367
"February 16, 2024",Exits,11346
"February 17, 2024",Exits,11033
"February 18, 2024",Exits,7637
"February 19, 2024",Exits,7264
"February 20, 2024",Exits,15294
"February 21, 2024",Exits,12501
"February 22, 2024",Exits,14312
"February 23, 2024",Exits,10144
"February 24, 2024",Exits,9363
"February 25, 2024",Exits,8619
"February 26, 2024",Exits,13142
"February 27, 2024",Exits,15176
"February 28, 2024",Exits,12082
"February 29, 2024",Exits,11646
"March 1, 2024",Exits,15494
"March 2, 2024",Exits,10431
"March 3, 2024",Exits,11179
"March 4, 2024",Exits,9667
"March 5, 2024",Exits,13008
"March 6, 2024",Exits,15616
"March 7, 2024",Exits,14371
"March 8, 2024",Exits,14043
"March 9, 2024",Exits,14813
"March 10, 2024",Exits,7604
"March 11, 2024",Exits,9982
"March 12, 2024",Exits,14896
"March 13, 2024",Exits,18299
"March 14, 2024",Exits,19988
"March 15, 2024",Exits,15694
"March 16, 2024",Exits,15567
"March 17, 2024",Exits,10342
"March 18, 2024",Exits,10243
"March 19, 2024",Exits,15275
"March 20, 2024",Exits,18755
"March 21, 2024",Exits,15718
"March 22, 2024",Exits,17332
"March 23, 2024",Exits,14441
"March 24, 2024",Exits,13707
"March 25, 2024",Exits,15314
"March 26, 2024",Exits,18912
"March 27, 2024",Exits,15865
"March 28, 2024",Exits,13560
"March 29, 2024",Exits,15865
"March 30, 2024",Exits,16812
"March 31, 2024",Exits,9956
"April 1, 2024",Exits,13021
"April 2, 2024",Exits,16210
"April 3, 2024",Exits,17004
"April 4, 2024",Exits,19367
"April 5, 2024",Exits,16593
"April 6, 2024",Exits,12481
"April 7, 2024",Exits,11547
"April 8, 2024",Exits,9736
"April 9, 2024",Exits,15780
"April 10, 2024",Exits,13292
"April 11, 2024",Exits,12533
"April 12, 2024",Exits,15482
"April 13, 2024",Exits,16234
"April 14, 2024",Exits,7948
"April 15, 2024",Exits,14859
"April 16, 2024",Exits,12274
"April 17, 2024",Exits,13746
"April 18, 2024",Exits,12326
"April 19, 2024",Exits,10659
"April 20, 2024",Exits,12196
"April 21, 2024",Exits,6340
"April 22, 2024",Exits,9593
"April 23, 2024",Exits,12570
"April 24, 2024",Exits,12997
"April 25, 2024",Exits,13150
"April 26, 2024",Exits,16694
"April 27, 2024",Exits,9451
"April 28, 2024",Exits,10991
"April 29, 2024",Exits,9655
"April 30, 2024",Exits,12832
"May 1, 2024",Exits,13076
"May 2, 2024",Exits,12412
"May 3, 2024",Exits,11201
"May 4, 2024",Exits,8792
"May 5, 2024",Exits,6398
"May 6, 2024",Exits,9340
"May 7, 2024",Exits,12994
"May 8, 2024",Exits,13470
"May 9, 2024",Exits,12156
"May 10, 2024",Exits,10499
"May 11, 2024",Exits,9413
"May 12, 2024",Exits,6278
"May 13, 2024",Exits,10618
"May 14, 2024",Exits,13344
"May 15, 2024",Exits,13475
"May 16, 2024",Exits,13000
"May 17, 2024",Exits,10976
"May 18, 2024",Exits,9574
"May 19, 2024",Exits,7233
"May 20, 2024",Exits,10622
"May 21, 2024",Exits,13571
"May 22, 2024",Exits,13218
"May 23, 2024",Exits,11633
"May 24, 2024",Exits,10581
"May 25, 2024",Exits,10640
"May 26, 2024",Exits,9508
"May 27, 2024",Exits,5925
"May 28, 2024",Exits,13094
"May 29, 2024",Exits,12382
"May 30, 2024",Exits,12361
"May 31, 2024",Exits,11149
"June 1, 2024",Exits,8595
"June 2, 2024",Exits,6357
"June 3, 2024",Exits,10270
"June 4, 2024",Exits,13348
"June 5, 2024",Exits,13008
"June 6, 2024",Exits,15351
"June 7, 2024",Exits,17596
"June 8, 2024",Exits,15125
"June 9, 2024",Exits,9243
"June 10, 2024",Exits,10340
"June 11, 2024",Exits,13554
"June 12, 2024",Exits,15510
"June 13, 2024",Exits,12657
"June 14, 2024",Exits,12311
"June 15, 2024",Exits,9298
"June 16, 2024",Exits,6905
"June 17, 2024",Exits,9987
"June 18, 2024",Exits,12795
"June 19, 2024",Exits,9011
"June 20, 2024",Exits,13644
"June 21, 2024",Exits,10529
"June 22, 2024",Exits,9954
"June 23, 2024",Exits,8113
"June 24, 2024",Exits,9939
"June 25, 2024",Exits,12513
"June 26, 2024",Exits,14097
"June 27, 2024",Exits,12890
"June 28, 2024",Exits,11236
"June 29, 2024",Exits,9422
"June 30, 2024",Exits,6417
"July 1, 2024",Exits,10042
"July 2, 2024",Exits,13529
"July 3, 2024",Exits,13440
"July 4, 2024",Exits,12645
"July 5, 2024",Exits,10067
"July 6, 2024",Exits,8469
"July 7, 2024",Exits,6325
"July 8, 2024",Exits,9753
"July 9, 2024",Exits,13907
"July 10, 2024",Exits,14079
"July 11, 2024",Exits,13926
"July 12, 2024",Exits,12909
"July 13, 2024",Exits,9257
"July 14, 2024",Exits,6472
"July 15, 2024",Exits,9756
"July 16, 2024",Exits,12273
"July 17, 2024",Exits,12730
"July 18, 2024",Exits,12012
"July 19, 2024",Exits,12025
"July 20, 2024",Exits,13468
"July 21, 2024",Exits,7169
"July 22, 2024",Exits,13085
"July 23, 2024",Exits,12735
"July 24, 2024",Exits,12823
"July 25, 2024",Exits,12337
"July 26, 2024",Exits,11059
"July 27, 2024",Exits,14653
"July 28, 2024",Exits,6698
"July 29, 2024",Exits,9923
"July 30, 2024",Exits,12014
"July 31, 2024",Exits,11856
"August 1, 2024",Exits,11889
"August 2, 2024",Exits,14543
"August 3, 2024",Exits,9703
"August 4, 2024",Exits,6775
"August 5, 2024",Exits,9311
"August 6, 2024",Exits,14751
"August 7, 2024",Exits,11757
"August 8, 2024",Exits,13084
"August 9, 2024",Exits,8754
"August 10, 2024",Exits,8387
"August 11, 2024",Exits,7769
"August 12, 2024",Exits,8840
"August 13, 2024",Exits,11720
