Date,Location,Home Team,Away Team,Result
2024-01-06 19:00:00,Capital One Arena,Washington Wizards,New York Knicks,105 - 121
2024-01-08 19:00:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,128 - 136
2024-01-15 15:00:00,Capital One Arena,Washington Wizards,Detroit Pistons,117 - 129
2024-01-20 19:00:00,Capital One Arena,Washington Wizards,San Antonio Spurs,127 - 131
2024-01-21 18:00:00,Capital One Arena,Washington Wizards,Denver Nuggets,104 - 113
2024-01-24 19:00:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,107 - 118
2024-01-25 19:00:00,Capital One Arena,Washington Wizards,Utah Jazz,108 - 123
2024-01-31 19:00:00,Capital One Arena,Washington Wizards,LA Clippers,109 - 125
2024-02-02 19:00:00,Capital One Arena,Washington Wizards,Miami Heat,102 - 110
2024-02-04 15:30:00,Capital One Arena,Washington Wizards,Phoenix Suns,112 - 140
2024-02-07 19:00:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,106 - 114
2024-02-10 19:00:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,113 - 119
2024-02-25 18:00:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,105 - 114
2024-02-27 19:00:00,Capital One Arena,Washington Wizards,Golden State Warriors,112 - 123
2024-03-06 19:00:00,Capital One Arena,Washington Wizards,Orlando Magic,109 - 119
2024-03-08 19:00:00,Capital One Arena,Washington Wizards,Charlotte Hornets,112 - 100
2024-03-17 18:00:00,Capital One Arena,Washington Wizards,Boston Celtics,104 - 130
2024-03-19 19:00:00,Capital One Arena,Washington Wizards,Houston Rockets,114 - 137
2024-03-21 19:00:00,Capital One Arena,Washington Wizards,Sacramento Kings,109 - 102
2024-03-23 20:00:00,Capital One Arena,Washington Wizards,Toronto Raptors,112 - 109
2024-03-27 19:00:00,Capital One Arena,Washington Wizards,Brooklyn Nets,119 - 122
2024-03-29 19:00:00,Capital One Arena,Washington Wizards,Detroit Pistons,87 - 96
2024-03-31 18:00:00,Capital One Arena,Washington Wizards,Miami Heat,107 - 119
2024-04-02 19:00:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,117 - 113
2024-04-03 19:00:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,120 - 125
2024-04-05 19:00:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,102 - 108
2024-04-12 19:00:00,Capital One Arena,Washington Wizards,Chicago Bulls,127 - 129
2024-10-24 19:00:00,Capital One Arena,Washington Wizards,Boston Celtics,102 - 122
2024-10-26 19:00:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,116 - 135
2024-10-30 19:00:00,Capital One Arena,Washington Wizards,Atlanta Hawks,133 - 120
2024-11-04 19:15:00,Capital One Arena,Washington Wizards,Golden State Warriors,112 - 125
2024-11-17 18:00:00,Capital One Arena,Washington Wizards,Detroit Pistons,104 - 124
2024-11-22 19:00:00,Capital One Arena,Washington Wizards,Boston Celtics,96 - 108
2024-11-26 19:00:00,Capital One Arena,Washington Wizards,Chicago Bulls,108 - 127
2024-11-27 19:00:00,Capital One Arena,Washington Wizards,LA Clippers,96 - 121
2024-12-05 19:00:00,Capital One Arena,Washington Wizards,Dallas Mavericks,101 - 137
2024-12-07 19:00:00,Capital One Arena,Washington Wizards,Denver Nuggets,122 - 113
2024-12-08 19:00:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,112 - 140
2024-12-15 18:00:00,Capital One Arena,Washington Wizards,Boston Celtics,98 - 112
2024-12-19 19:00:00,Capital One Arena,Washington Wizards,Charlotte Hornets,123 - 114
2024-12-26 19:00:00,Capital One Arena,Washington Wizards,Charlotte Hornets,113 - 110
2024-12-28 19:00:00,Capital One Arena,Washington Wizards,New York Knicks,132 - 136
2024-12-30 19:00:00,Capital One Arena,Washington Wizards,New York Knicks,106 - 126
