Date,Location,Home Team,Away Team,Result
2024-01-04 00:30:00,Capital One Arena,Washington Capitals,New Jersey Devils,3 - 6
2024-01-06 00:00:00,Capital One Arena,Washington Capitals,Carolina Hurricanes,2 - 6
2024-01-07 20:00:00,Capital One Arena,Washington Capitals,Los Angeles Kings,4 - 3
2024-01-12 00:00:00,Capital One Arena,Washington Capitals,Seattle Kraken,1 - 4
2024-01-13 18:00:00,Capital One Arena,Washington Capitals,New York Rangers,3 - 2
2024-01-17 00:00:00,Capital One Arena,Washington Capitals,Anaheim Ducks,2 - 0
2024-01-19 00:00:00,Capital One Arena,Washington Capitals,St. Louis Blues,5 - 2
2024-02-07 00:00:00,Capital One Arena,Washington Capitals,Montréal Canadiens,2 - 5
2024-02-11 18:30:00,Capital One Arena,Washington Capitals,Vancouver Canucks,2 - 3
2024-02-14 00:00:00,Capital One Arena,Washington Capitals,Colorado Avalanche,3 - 6
2024-02-21 00:00:00,Capital One Arena,Washington Capitals,New Jersey Devils,6 - 2
2024-02-27 00:00:00,Capital One Arena,Washington Capitals,Ottawa Senators,6 - 3
2024-03-02 00:00:00,Capital One Arena,Washington Capitals,Philadelphia Flyers,5 - 2
2024-03-03 18:00:00,Capital One Arena,Washington Capitals,Arizona Coyotes,2 - 5
2024-03-10 00:00:00,Capital One Arena,Washington Capitals,Chicago Blackhawks,4 - 1
2024-03-20 23:30:00,Capital One Arena,Washington Capitals,Toronto Maple Leafs,3 - 7
2024-03-22 23:00:00,Capital One Arena,Washington Capitals,Carolina Hurricanes,7 - 6
2024-03-24 16:30:00,Capital One Arena,Washington Capitals,Winnipeg Jets,3 - 0
2024-03-26 23:00:00,Capital One Arena,Washington Capitals,Detroit Red Wings,4 - 3
2024-03-30 23:00:00,Capital One Arena,Washington Capitals,Boston Bruins,2 - 3
2024-04-04 23:00:00,Capital One Arena,Washington Capitals,Pittsburgh Penguins,1 - 4
2024-04-07 22:00:00,Capital One Arena,Washington Capitals,Ottawa Senators,2 - 3
2024-04-13 21:30:00,Capital One Arena,Washington Capitals,Tampa Bay Lightning,4 - 2
2024-04-15 23:00:00,Capital One Arena,Washington Capitals,Boston Bruins,2 - 0
2024-10-12 19:00:00,Capital One Arena,Washington Capitals,New Jersey Devils,3 - 5
2024-10-15 19:00:00,Capital One Arena,Washington Capitals,Vegas Golden Knights,4 - 2
2024-10-17 19:00:00,Capital One Arena,Washington Capitals,Dallas Stars,3 - 2
2024-10-23 19:30:00,Capital One Arena,Washington Capitals,Philadelphia Flyers,6 - 3
2024-10-29 19:30:00,Capital One Arena,Washington Capitals,New York Rangers,5 - 3
2024-10-31 19:00:00,Capital One Arena,Washington Capitals,Montréal Canadiens,6 - 3
2024-11-02 17:00:00,Capital One Arena,Washington Capitals,Columbus Blue Jackets,7 - 2
2024-11-06 19:00:00,Capital One Arena,Washington Capitals,Nashville Predators,3 - 2
2024-11-08 19:30:00,Capital One Arena,Washington Capitals,Pittsburgh Penguins,2 - 4
2024-11-13 19:30:00,Capital One Arena,Washington Capitals,Toronto Maple Leafs,3 - 4
2024-11-21 19:00:00,Capital One Arena,Washington Capitals,Colorado Avalanche,1 - 2
2024-11-23 19:00:00,Capital One Arena,Washington Capitals,New Jersey Devils,2 - 3
2024-11-29 15:00:00,Capital One Arena,Washington Capitals,New York Islanders,5 - 4
2024-12-03 19:00:00,Capital One Arena,Washington Capitals,San Jose Sharks,1 - 2
2024-12-14 19:00:00,Capital One Arena,Washington Capitals,Buffalo Sabres,4 - 2
2024-12-20 19:00:00,Capital One Arena,Washington Capitals,Carolina Hurricanes,3 - 1
2024-12-22 17:00:00,Capital One Arena,Washington Capitals,Los Angeles Kings,3 - 1
2024-12-31 12:30:00,Capital One Arena,Washington Capitals,Boston Bruins,3 - 1
